"CustomerID","Cluster","Segment"
12346,"4","Champions"
12347,"3","Potential Loyalists"
12348,"3","Potential Loyalists"
12349,"3","Potential Loyalists"
12350,"1","Average Customers"
12352,"3","Potential Loyalists"
12353,"1","Average Customers"
12354,"1","Average Customers"
12355,"1","Average Customers"
12356,"3","Potential Loyalists"
12357,"3","Potential Loyalists"
12358,"3","Potential Loyalists"
12359,"3","Potential Loyalists"
12360,"3","Potential Loyalists"
12361,"1","Average Customers"
12362,"3","Potential Loyalists"
12363,"3","Potential Loyalists"
12364,"3","Potential Loyalists"
12365,"1","Average Customers"
12367,"3","Potential Loyalists"
12370,"3","Potential Loyalists"
12371,"3","Potential Loyalists"
12372,"3","Potential Loyalists"
12373,"1","Average Customers"
12374,"3","Potential Loyalists"
12375,"3","Potential Loyalists"
12377,"1","Average Customers"
12378,"3","Potential Loyalists"
12379,"3","Potential Loyalists"
12380,"3","Potential Loyalists"
12381,"3","Potential Loyalists"
12383,"1","Average Customers"
12384,"3","Potential Loyalists"
12386,"1","Average Customers"
12388,"3","Potential Loyalists"
12390,"3","Potential Loyalists"
12391,"3","Potential Loyalists"
12393,"3","Potential Loyalists"
12394,"3","Potential Loyalists"
12395,"3","Potential Loyalists"
12397,"3","Potential Loyalists"
12398,"3","Potential Loyalists"
12399,"3","Potential Loyalists"
12401,"1","Average Customers"
12402,"1","Average Customers"
12403,"3","Potential Loyalists"
12405,"1","Average Customers"
12406,"3","Potential Loyalists"
12407,"3","Potential Loyalists"
12408,"3","Potential Loyalists"
12409,"3","Potential Loyalists"
12410,"1","Average Customers"
12412,"3","Potential Loyalists"
12413,"3","Potential Loyalists"
12414,"1","Average Customers"
12415,"2","Champions"
12417,"3","Potential Loyalists"
12418,"3","Potential Loyalists"
12420,"3","Potential Loyalists"
12421,"3","Potential Loyalists"
12422,"3","Potential Loyalists"
12423,"3","Potential Loyalists"
12424,"1","Average Customers"
12425,"3","Potential Loyalists"
12426,"1","Average Customers"
12427,"3","Potential Loyalists"
12428,"3","Potential Loyalists"
12429,"3","Potential Loyalists"
12430,"3","Potential Loyalists"
12431,"4","Champions"
12432,"3","Potential Loyalists"
12433,"3","Potential Loyalists"
12434,"3","Potential Loyalists"
12435,"3","Potential Loyalists"
12436,"3","Potential Loyalists"
12437,"4","Champions"
12438,"3","Potential Loyalists"
12441,"1","Average Customers"
12442,"3","Potential Loyalists"
12444,"3","Potential Loyalists"
12445,"3","Potential Loyalists"
12446,"3","Potential Loyalists"
12447,"1","Average Customers"
12448,"3","Potential Loyalists"
12449,"3","Potential Loyalists"
12450,"1","Average Customers"
12451,"3","Potential Loyalists"
12452,"3","Potential Loyalists"
12453,"3","Potential Loyalists"
12454,"3","Potential Loyalists"
12455,"3","Potential Loyalists"
12456,"3","Potential Loyalists"
12457,"3","Potential Loyalists"
12458,"3","Potential Loyalists"
12461,"3","Potential Loyalists"
12462,"3","Potential Loyalists"
12463,"3","Potential Loyalists"
12464,"3","Potential Loyalists"
12465,"3","Potential Loyalists"
12468,"1","Average Customers"
12471,"4","Champions"
12472,"3","Potential Loyalists"
12473,"3","Potential Loyalists"
12474,"4","Champions"
12475,"3","Potential Loyalists"
12476,"3","Potential Loyalists"
12477,"3","Potential Loyalists"
12478,"3","Potential Loyalists"
12479,"3","Potential Loyalists"
12480,"3","Potential Loyalists"
12481,"3","Potential Loyalists"
12483,"3","Potential Loyalists"
12484,"3","Potential Loyalists"
12488,"3","Potential Loyalists"
12489,"1","Average Customers"
12490,"3","Potential Loyalists"
12491,"3","Potential Loyalists"
12492,"3","Potential Loyalists"
12493,"1","Average Customers"
12494,"3","Potential Loyalists"
12497,"3","Potential Loyalists"
12498,"3","Potential Loyalists"
12500,"3","Potential Loyalists"
12501,"1","Average Customers"
12502,"3","Potential Loyalists"
12504,"3","Potential Loyalists"
12506,"1","Average Customers"
12507,"3","Potential Loyalists"
12508,"3","Potential Loyalists"
12509,"1","Average Customers"
12510,"3","Potential Loyalists"
12512,"3","Potential Loyalists"
12513,"3","Potential Loyalists"
12514,"1","Average Customers"
12515,"1","Average Customers"
12516,"3","Potential Loyalists"
12517,"3","Potential Loyalists"
12518,"3","Potential Loyalists"
12519,"3","Potential Loyalists"
12520,"3","Potential Loyalists"
12521,"3","Potential Loyalists"
12522,"3","Potential Loyalists"
12523,"3","Potential Loyalists"
12524,"3","Potential Loyalists"
12526,"3","Potential Loyalists"
12527,"3","Potential Loyalists"
12528,"3","Potential Loyalists"
12530,"3","Potential Loyalists"
12531,"3","Potential Loyalists"
12532,"3","Potential Loyalists"
12534,"3","Potential Loyalists"
12535,"3","Potential Loyalists"
12536,"3","Potential Loyalists"
12538,"3","Potential Loyalists"
12539,"3","Potential Loyalists"
12540,"4","Champions"
12541,"3","Potential Loyalists"
12544,"3","Potential Loyalists"
12545,"3","Potential Loyalists"
12546,"3","Potential Loyalists"
12547,"1","Average Customers"
12548,"1","Average Customers"
12550,"3","Potential Loyalists"
12551,"1","Average Customers"
12552,"3","Potential Loyalists"
12553,"3","Potential Loyalists"
12556,"3","Potential Loyalists"
12557,"3","Potential Loyalists"
12558,"3","Potential Loyalists"
12559,"1","Average Customers"
12560,"3","Potential Loyalists"
12561,"1","Average Customers"
12562,"3","Potential Loyalists"
12564,"1","Average Customers"
12565,"1","Average Customers"
12566,"3","Potential Loyalists"
12567,"3","Potential Loyalists"
12569,"4","Champions"
12571,"3","Potential Loyalists"
12572,"3","Potential Loyalists"
12573,"1","Average Customers"
12574,"1","Average Customers"
12576,"3","Potential Loyalists"
12577,"3","Potential Loyalists"
12578,"3","Potential Loyalists"
12579,"3","Potential Loyalists"
12580,"1","Average Customers"
12581,"3","Potential Loyalists"
12582,"1","Average Customers"
12583,"4","Champions"
12584,"3","Potential Loyalists"
12585,"1","Average Customers"
12586,"3","Potential Loyalists"
12587,"3","Potential Loyalists"
12588,"3","Potential Loyalists"
12589,"3","Potential Loyalists"
12590,"1","Average Customers"
12591,"1","Average Customers"
12592,"3","Potential Loyalists"
12593,"3","Potential Loyalists"
12594,"3","Potential Loyalists"
12596,"3","Potential Loyalists"
12597,"3","Potential Loyalists"
12598,"3","Potential Loyalists"
12599,"3","Potential Loyalists"
12600,"3","Potential Loyalists"
12601,"1","Average Customers"
12602,"3","Potential Loyalists"
12603,"3","Potential Loyalists"
12604,"3","Potential Loyalists"
12607,"3","Potential Loyalists"
12609,"3","Potential Loyalists"
12610,"3","Potential Loyalists"
12611,"3","Potential Loyalists"
12612,"3","Potential Loyalists"
12613,"3","Potential Loyalists"
12614,"1","Average Customers"
12615,"3","Potential Loyalists"
12616,"3","Potential Loyalists"
12617,"3","Potential Loyalists"
12618,"3","Potential Loyalists"
12619,"3","Potential Loyalists"
12620,"3","Potential Loyalists"
12621,"4","Champions"
12622,"1","Average Customers"
12623,"1","Average Customers"
12624,"3","Potential Loyalists"
12625,"1","Average Customers"
12626,"3","Potential Loyalists"
12627,"3","Potential Loyalists"
12628,"3","Potential Loyalists"
12630,"3","Potential Loyalists"
12631,"3","Potential Loyalists"
12633,"3","Potential Loyalists"
12635,"3","Potential Loyalists"
12637,"3","Potential Loyalists"
12638,"3","Potential Loyalists"
12639,"1","Average Customers"
12640,"3","Potential Loyalists"
12641,"3","Potential Loyalists"
12642,"3","Potential Loyalists"
12643,"3","Potential Loyalists"
12644,"3","Potential Loyalists"
12645,"3","Potential Loyalists"
12646,"3","Potential Loyalists"
12647,"3","Potential Loyalists"
12648,"1","Average Customers"
12649,"3","Potential Loyalists"
12650,"3","Potential Loyalists"
12651,"1","Average Customers"
12652,"1","Average Customers"
12653,"1","Average Customers"
12654,"3","Potential Loyalists"
12656,"3","Potential Loyalists"
12657,"3","Potential Loyalists"
12658,"3","Potential Loyalists"
12659,"3","Potential Loyalists"
12660,"3","Potential Loyalists"
12662,"3","Potential Loyalists"
12664,"3","Potential Loyalists"
12665,"1","Average Customers"
12667,"3","Potential Loyalists"
12668,"3","Potential Loyalists"
12669,"1","Average Customers"
12670,"3","Potential Loyalists"
12672,"1","Average Customers"
12673,"3","Potential Loyalists"
12674,"3","Potential Loyalists"
12676,"3","Potential Loyalists"
12678,"4","Champions"
12679,"3","Potential Loyalists"
12680,"3","Potential Loyalists"
12681,"4","Champions"
12682,"4","Champions"
12683,"4","Champions"
12684,"3","Potential Loyalists"
12685,"3","Potential Loyalists"
12686,"1","Average Customers"
12688,"3","Potential Loyalists"
12689,"3","Potential Loyalists"
12690,"1","Average Customers"
12691,"3","Potential Loyalists"
12693,"3","Potential Loyalists"
12694,"3","Potential Loyalists"
12695,"3","Potential Loyalists"
12697,"3","Potential Loyalists"
12700,"3","Potential Loyalists"
12701,"3","Potential Loyalists"
12702,"3","Potential Loyalists"
12703,"3","Potential Loyalists"
12704,"3","Potential Loyalists"
12705,"3","Potential Loyalists"
12707,"1","Average Customers"
12708,"3","Potential Loyalists"
